idarista|idnodoorigen|idnododestino|idvia|distancia|geom
92|90|91|141|0.144309065029|SRID=4326;LINESTRING(-77.0323475 -12.1257497,-77.0320445 -12.1249991,-77.0320226 -12.124945)
93|91|48|141|0.146968458476|SRID=4326;LINESTRING(-77.0320226 -12.124945,-77.0320031 -12.1249006,-77.0316671 -12.1241355)
94|48|92|141|0.139432528741|SRID=4326;LINESTRING(-77.0316671 -12.1241355,-77.0313498 -12.1233593)
95|92|93|141|0.148456952859|SRID=4326;LINESTRING(-77.0313498 -12.1233593,-77.0309643 -12.1225533)
97|11|94|17|0.220418677632|SRID=4326;LINESTRING(-77.0295281 -12.126872,-77.0307853 -12.1264043)
98|94|95|17|0.170327053552|SRID=4326;LINESTRING(-77.0307853 -12.1264043,-77.0317372 -12.1259955)
99|95|90|17|0.108144987926|SRID=4326;LINESTRING(-77.0317372 -12.1259955,-77.0323475 -12.1257497)
100|90|96|17|0.131610906382|SRID=4326;LINESTRING(-77.0323475 -12.1257497,-77.0330936 -12.1254588)
102|97|95|139|0.145468308083|SRID=4326;LINESTRING(-77.0314294 -12.1251769,-77.0314511 -12.1252345,-77.0317372 -12.1259955)
103|95|71|139|0.141310237778|SRID=4326;LINESTRING(-77.0317372 -12.1259955,-77.0320532 -12.1267843)
104|71|98|139|0.153665708359|SRID=4326;LINESTRING(-77.0320532 -12.1267843,-77.0324086 -12.1276374)
105|98|99|139|0.169302636809|SRID=4326;LINESTRING(-77.0324086 -12.1276374,-77.0328206 -12.1285688)
106|99|100|139|0.117976334706|SRID=4326;LINESTRING(-77.0328206 -12.1285688,-77.0328206 -12.1286024,-77.0330094 -12.1290639,-77.033181 -12.1291814)
107|100|86|139|0.115443092093|SRID=4326;LINESTRING(-77.033181 -12.1291814,-77.0334042 -12.1293157,-77.0338334 -12.1294415)
109|101|91|148|0.126858463394|SRID=4326;LINESTRING(-77.0327503 -12.1246868,-77.0326813 -12.1247113,-77.0320761 -12.124926,-77.0320226 -12.124945)
110|91|97|148|0.104676660738|SRID=4326;LINESTRING(-77.0320226 -12.124945,-77.0319516 -12.1249727,-77.0314779 -12.1251579,-77.0314294 -12.1251769)
111|97|102|148|0.159817738482|SRID=4326;LINESTRING(-77.0314294 -12.1251769,-77.0313661 -12.1252025,-77.030588 -12.1255166,-77.0305278 -12.1255409)
112|102|103|148|0.189948325982|SRID=4326;LINESTRING(-77.0305278 -12.1255409,-77.0295422 -12.125951,-77.029461 -12.1259848)
113|103|104|148|0.255616015892|SRID=4326;LINESTRING(-77.029461 -12.1259848,-77.028014 -12.1265549)
114|104|105|148|0.189730454725|SRID=4326;LINESTRING(-77.028014 -12.1265549,-77.0269481 -12.1269975)
115|105|106|148|0.165872537931|SRID=4326;LINESTRING(-77.0269481 -12.1269975,-77.0260063 -12.1273604)
116|106|107|148|0.0630712759313|SRID=4326;LINESTRING(-77.0260063 -12.1273604,-77.0256537 -12.1275115)
117|107|108|148|0.0914109844106|SRID=4326;LINESTRING(-77.0256537 -12.1275115,-77.0251387 -12.1277213)
118|108|109|148|0.191933323772|SRID=4326;LINESTRING(-77.0251387 -12.1277213,-77.0241793 -12.1280992,-77.0240642 -12.1281777)
120|110|50|96|0.00982348644846|SRID=4326;LINESTRING(-77.0301526 -12.1243638,-77.0301716 -12.1244197)
121|50|102|96|0.195777577808|SRID=4326;LINESTRING(-77.0301716 -12.1244197,-77.0305278 -12.1255409)
122|102|94|96|0.149965410094|SRID=4326;LINESTRING(-77.0305278 -12.1255409,-77.0305447 -12.1255975,-77.0307853 -12.1264043)
123|94|72|96|0.139452495079|SRID=4326;LINESTRING(-77.0307853 -12.1264043,-77.0310165 -12.1272095)
124|72|111|96|0.150292706184|SRID=4326;LINESTRING(-77.0310165 -12.1272095,-77.0312879 -12.1280708)
125|111|112|96|0.174142274085|SRID=4326;LINESTRING(-77.0312879 -12.1280708,-77.0315895 -12.1290726)
126|112|113|96|0.08883856031|SRID=4326;LINESTRING(-77.0315895 -12.1290726,-77.0317415 -12.1295842)
127|113|114|96|0.0813886868336|SRID=4326;LINESTRING(-77.0317415 -12.1295842,-77.0318706 -12.1300557)
128|114|115|96|0.159802004001|SRID=4326;LINESTRING(-77.0318706 -12.1300557,-77.0322611 -12.1309341)
130|49|116|97|0.011450319719|SRID=4326;LINESTRING(-77.0307532 -12.1243167,-77.0307203 -12.1242561)
131|116|117|97|0.267942594423|SRID=4326;LINESTRING(-77.0307203 -12.1242561,-77.0304569 -12.1227973,-77.0304202 -12.1226757)
132|117|118|97|0.0416294955377|SRID=4326;LINESTRING(-77.0304202 -12.1226757,-77.030403 -12.1226245,-77.0303403 -12.1224386)
133|118|119|97|0.0825064063596|SRID=4326;LINESTRING(-77.0303403 -12.1224386,-77.0303213 -12.1223539,-77.0301198 -12.1219936)
135|120|121|122|0.132143791022|SRID=4326;LINESTRING(-77.0220316 -12.1216374,-77.0224865 -12.1222919)
136|121|122|122|0.158574838895|SRID=4326;LINESTRING(-77.0224865 -12.1222919,-77.0230273 -12.1230807)
137|122|123|122|0.107333528882|SRID=4326;LINESTRING(-77.0230273 -12.1230807,-77.0233003 -12.1234532,-77.0234891 -12.1235371)
138|123|124|122|0.0657123168234|SRID=4326;LINESTRING(-77.0234891 -12.1235371,-77.023877 -12.123636)
139|124|125|122|0.0716359664409|SRID=4326;LINESTRING(-77.023877 -12.123636,-77.0243007 -12.1237406)
502|405|406|223|0.143776879172|SRID=4326;LINESTRING(-77.0339409 -12.1098367,-77.0346534 -12.1093337)
141|126|127|125|0.097225907264|SRID=4326;LINESTRING(-77.0341836 -12.1269861,-77.0340222 -12.1270416,-77.0336359 -12.1272094)
142|127|89|125|0.106717131838|SRID=4326;LINESTRING(-77.0336359 -12.1272094,-77.0330172 -12.1274078)
143|89|98|125|0.106893204895|SRID=4326;LINESTRING(-77.0330172 -12.1274078,-77.0324086 -12.1276374)
144|98|111|125|0.197477849193|SRID=4326;LINESTRING(-77.0324086 -12.1276374,-77.0312879 -12.1280708)
145|111|128|125|0.272647836745|SRID=4326;LINESTRING(-77.0312879 -12.1280708,-77.0303315 -12.1284346,-77.0297386 -12.1286641)
146|128|9|125|0.0147294264217|SRID=4326;LINESTRING(-77.0297386 -12.1286641,-77.029655 -12.1286964)
147|9|78|125|0.13959150672|SRID=4326;LINESTRING(-77.029655 -12.1286964,-77.0288638 -12.1290052)
148|78|129|125|0.119875278745|SRID=4326;LINESTRING(-77.0288638 -12.1290052,-77.0281857 -12.1292737)
149|129|130|125|0.130380461074|SRID=4326;LINESTRING(-77.0281857 -12.1292737,-77.027439 -12.1295422)
150|130|131|125|0.149664814115|SRID=4326;LINESTRING(-77.027439 -12.1295422,-77.0265892 -12.1298695)
151|131|132|125|0.0314679739209|SRID=4326;LINESTRING(-77.0265892 -12.1298695,-77.026411 -12.1299395)
152|132|133|125|0.0599344561396|SRID=4326;LINESTRING(-77.026411 -12.1299395,-77.0260743 -12.1300793)
153|133|134|125|0.174226862559|SRID=4326;LINESTRING(-77.0260743 -12.1300793,-77.0256194 -12.130373,-77.0252074 -12.1306835)
155|135|136|128|0.171449164434|SRID=4326;LINESTRING(-77.0260161 -12.131335,-77.026979 -12.1309345)
156|136|137|128|0.100560554745|SRID=4326;LINESTRING(-77.026979 -12.1309345,-77.0275489 -12.1307119)
157|137|138|128|0.127379234208|SRID=4326;LINESTRING(-77.0275489 -12.1307119,-77.0282715 -12.1304317)
158|138|79|128|0.127784503994|SRID=4326;LINESTRING(-77.0282715 -12.1304317,-77.0289839 -12.1301212)
159|79|8|128|0.137383342281|SRID=4326;LINESTRING(-77.0289839 -12.1301212,-77.0297564 -12.1298024)
160|8|139|128|0.0157554177232|SRID=4326;LINESTRING(-77.0297564 -12.1298024,-77.029846 -12.1297683)
161|139|112|128|0.308552642013|SRID=4326;LINESTRING(-77.029846 -12.1297683,-77.0303744 -12.1295674,-77.0315895 -12.1290726)
162|112|99|128|0.218665307729|SRID=4326;LINESTRING(-77.0315895 -12.1290726,-77.0328206 -12.1285688)
163|99|88|128|0.100802685403|SRID=4326;LINESTRING(-77.0328206 -12.1285688,-77.033387 -12.1283339)
164|88|140|128|0.104220269056|SRID=4326;LINESTRING(-77.033387 -12.1283339,-77.0339793 -12.1281073)
165|140|141|128|0.108051393567|SRID=4326;LINESTRING(-77.0339793 -12.1281073,-77.0342625 -12.1279982,-77.0346036 -12.1279001)
167|142|143|177|0.148594940021|SRID=4326;LINESTRING(-77.0257058 -12.1323593,-77.0265576 -12.1320555)
168|143|144|177|0.064002262511|SRID=4326;LINESTRING(-77.0265576 -12.1320555,-77.0269227 -12.1319199)
169|144|145|177|0.125849472217|SRID=4326;LINESTRING(-77.0269227 -12.1319199,-77.0276359 -12.1316413)
170|145|146|177|0.121099273217|SRID=4326;LINESTRING(-77.0276359 -12.1316413,-77.0283229 -12.131375)
171|146|80|177|0.125467684138|SRID=4326;LINESTRING(-77.0283229 -12.131375,-77.0290383 -12.1311083)
172|80|6|177|0.140374493392|SRID=4326;LINESTRING(-77.0290383 -12.1311083,-77.0298362 -12.1308035)
173|6|147|177|0.0175069664469|SRID=4326;LINESTRING(-77.0298362 -12.1308035,-77.0299298 -12.130753)
175|7|148|98|0.0150702165522|SRID=4326;LINESTRING(-77.0297892 -12.1301537,-77.0298773 -12.130128)
176|148|113|98|0.318884732914|SRID=4326;LINESTRING(-77.0298773 -12.130128,-77.0317415 -12.1295842)
177|113|100|98|0.245439914122|SRID=4326;LINESTRING(-77.0317415 -12.1295842,-77.033181 -12.1291814)
178|100|87|98|0.0858691447246|SRID=4326;LINESTRING(-77.033181 -12.1291814,-77.0336789 -12.129022)
180|86|140|86|0.223655578098|SRID=4326;LINESTRING(-77.0338334 -12.1294415,-77.0340222 -12.1292401,-77.0341681 -12.1289297,-77.0342368 -12.1287283,-77.0341938 -12.128552,-77.0339793 -12.1281073)
181|140|127|86|0.159896801516|SRID=4326;LINESTRING(-77.0339793 -12.1281073,-77.0336359 -12.1272094)
183|60|149|48|0.024331985439|SRID=4326;LINESTRING(-77.0221376 -12.1210621,-77.0221747 -12.1211307,-77.022224 -12.1211808)
185|150|151|197|0.137099388084|SRID=4326;LINESTRING(-77.0222205 -12.1213437,-77.0230257 -12.1215651)
186|151|152|197|0.146855699709|SRID=4326;LINESTRING(-77.0230257 -12.1215651,-77.0238942 -12.12178)
187|152|153|197|0.14323722302|SRID=4326;LINESTRING(-77.0238942 -12.12178,-77.0247507 -12.1219486)
189|154|155|197|0.14568429252|SRID=4326;LINESTRING(-77.0247066 -12.1220958,-77.0238358 -12.1219227)
190|155|156|197|0.147006924195|SRID=4326;LINESTRING(-77.0238358 -12.1219227,-77.0229672 -12.1217045)
191|156|157|197|0.133762611605|SRID=4326;LINESTRING(-77.0229672 -12.1217045,-77.0221776 -12.1215031)
193|158|159|237|0.00887031553832|SRID=4326;LINESTRING(-77.0390542 -12.1097648,-77.0390929 -12.109802)
194|159|160|237|0.196598249306|SRID=4326;LINESTRING(-77.0390929 -12.109802,-77.0399516 -12.1106255)
195|160|161|237|0.200442360854|SRID=4326;LINESTRING(-77.0399516 -12.1106255,-77.0408357 -12.1114563)
197|162|163|41|0.125429265886|SRID=4326;LINESTRING(-77.0391178 -12.1131619,-77.0396604 -12.1126313)
198|163|164|41|0.108071560017|SRID=4326;LINESTRING(-77.0396604 -12.1126313,-77.0401233 -12.1121696)
199|164|161|41|0.166646175177|SRID=4326;LINESTRING(-77.0401233 -12.1121696,-77.0408357 -12.1114563)
200|161|165|41|0.0170093879748|SRID=4326;LINESTRING(-77.0408357 -12.1114563,-77.0409031 -12.1113787)
201|165|166|41|0.146770610174|SRID=4326;LINESTRING(-77.0409031 -12.1113787,-77.0415137 -12.1107346)
202|166|167|41|0.165770122785|SRID=4326;LINESTRING(-77.0415137 -12.1107346,-77.0422439 -12.1100465)
204|168|160|32|0.16434559725|SRID=4326;LINESTRING(-77.0406528 -12.1099207,-77.0399516 -12.1106255)
205|160|169|32|0.161494022599|SRID=4326;LINESTRING(-77.0399516 -12.1106255,-77.0392754 -12.1113302)
206|169|170|32|0.206425583748|SRID=4326;LINESTRING(-77.0392754 -12.1113302,-77.038386 -12.112207)
208|171|172|91|0.207737104071|SRID=4326;LINESTRING(-77.0402105 -12.1147914,-77.0389442 -12.1148298)
209|172|173|91|0.144410737564|SRID=4326;LINESTRING(-77.0389442 -12.1148298,-77.0380635 -12.1148294)
210|173|174|91|0.17059815615|SRID=4326;LINESTRING(-77.0380635 -12.1148294,-77.0370231 -12.1148329)
211|174|175|91|0.0287627369629|SRID=4326;LINESTRING(-77.0370231 -12.1148329,-77.0368477 -12.1148349)
212|175|176|91|0.171827012773|SRID=4326;LINESTRING(-77.0368477 -12.1148349,-77.0357998 -12.1148341)
213|176|177|91|0.174501099043|SRID=4326;LINESTRING(-77.0357998 -12.1148341,-77.0347362 -12.1148695)
214|177|178|91|0.204358131429|SRID=4326;LINESTRING(-77.0347362 -12.1148695,-77.03349 -12.1148845)
215|178|179|91|0.175863461229|SRID=4326;LINESTRING(-77.03349 -12.1148845,-77.0324177 -12.1148633)
216|179|180|91|0.177420441013|SRID=4326;LINESTRING(-77.0324177 -12.1148633,-77.0313357 -12.1148583)
217|180|181|91|0.0952646238692|SRID=4326;LINESTRING(-77.0313357 -12.1148583,-77.0307548 -12.1148489)
218|181|182|91|0.164008966412|SRID=4326;LINESTRING(-77.0307548 -12.1148489,-77.0297546 -12.1148553)
220|183|184|35|0.117866355823|SRID=4326;LINESTRING(-77.0397285 -12.1190742,-77.0390098 -12.1190848)
221|184|185|35|0.1476657733|SRID=4326;LINESTRING(-77.0390098 -12.1190848,-77.0381839 -12.1190876,-77.0381093 -12.1190879)
222|185|186|35|0.172031882844|SRID=4326;LINESTRING(-77.0381093 -12.1190879,-77.0380008 -12.1190893,-77.0371415 -12.1191008,-77.0370603 -12.1191019)
224|187|188|24|0.250031078736|SRID=4326;LINESTRING(-77.0369706 -12.1107291,-77.0369728 -12.110845,-77.0369989 -12.1122294)
225|188|189|24|0.163336470982|SRID=4326;LINESTRING(-77.0369989 -12.1122294,-77.0370082 -12.1132096)
226|189|190|24|0.13410308006|SRID=4326;LINESTRING(-77.0370082 -12.1132096,-77.0370184 -12.113878,-77.0370205 -12.1140143)
228|191|192|74|0.200081857851|SRID=4326;LINESTRING(-77.0398536 -12.1192422,-77.0390152 -12.1201145)
230|193|194|113|0.0427691631164|SRID=4326;LINESTRING(-77.0264307 -12.1166678,-77.0266906 -12.1166894)
231|194|195|113|0.118268468458|SRID=4326;LINESTRING(-77.0266906 -12.1166894,-77.0273917 -12.116856)
233|82|196|267|0.275894460079|SRID=4326;LINESTRING(-77.0291317 -12.1322018,-77.0292015 -12.1323681,-77.0292834 -12.1324403,-77.0294313 -12.1325072,-77.0295303 -12.132587,-77.0295452 -12.1327121,-77.029416 -12.1328858,-77.0291928 -12.1331459,-77.0290813 -12.1333137,-77.029107 -12.1336578,-77.0291757 -12.1339431,-77.029107 -12.134027,-77.0289697 -12.134027,-77.0288839 -12.1339599,-77.0287723 -12.1338088,-77.0286264 -12.1337417,-77.0285148 -12.1337417)
234|196|197|267|0.0447939995007|SRID=4326;LINESTRING(-77.0285148 -12.1337417,-77.0283517 -12.1337837,-77.0282715 -12.1338638)
235|197|198|267|0.193656457713|SRID=4326;LINESTRING(-77.0282715 -12.1338638,-77.0280856 -12.1342955,-77.0279998 -12.134413,-77.0275331 -12.1347704)
236|198|199|267|0.263708559833|SRID=4326;LINESTRING(-77.0275331 -12.1347704,-77.0275277 -12.1348745,-77.0275277 -12.1350004,-77.0276393 -12.1351598,-77.0277423 -12.1352689,-77.0278625 -12.1353444,-77.0279136 -12.1355296,-77.0279083 -12.1357116,-77.0279054 -12.135806,-77.0278625 -12.1360661,-77.0277337 -12.1362171,-77.0276868 -12.1363452)
237|199|200|267|0.247361981478|SRID=4326;LINESTRING(-77.0276868 -12.1363452,-77.0276908 -12.1366535,-77.0275621 -12.1370059,-77.0274676 -12.1372409,-77.0272428 -12.1373692,-77.027041 -12.1373486,-77.0269058 -12.1372585,-77.0268446 -12.1370548,-77.0269098 -12.1367038,-77.0268431 -12.1365024,-77.0267123 -12.1363682,-77.0265783 -12.1362413,-77.0265302 -12.1361197,-77.026379 -12.1358596,-77.0262967 -12.1357696)
239|201|202|73|0.183409683839|SRID=4326;LINESTRING(-77.0276519 -12.1203932,-77.0277034 -12.1214926)
240|202|203|73|0.144477832046|SRID=4326;LINESTRING(-77.0277034 -12.1214926,-77.0277721 -12.1223569)
241|203|204|73|0.137480417814|SRID=4326;LINESTRING(-77.0277721 -12.1223569,-77.0277995 -12.1231814)
242|204|205|73|0.2538292237|SRID=4326;LINESTRING(-77.0277995 -12.1231814,-77.0278282 -12.1236263,-77.0279197 -12.1246358,-77.0279255 -12.1246994)
243|205|52|73|0.0129731615923|SRID=4326;LINESTRING(-77.0279255 -12.1246994,-77.0279281 -12.1247772)
